sku,product_name,quantity,price
1KIIA761,Smart Lamp,65,396.4
7M32UOVS,Turbo Headset,22,50.06
CVJI2SCR,Pro Backpack,114,186.38
8PNJ1TJB,Ultra Watch,86,219.21
ZHEQ1W8S,Turbo Chair,118,142.69
1W5HBY34,Pro Backpack,117,460.86
FZ7R3CG3,Smart Lamp,192,230.72
FA70TPP2,Next Backpack,16,71.55
GZPV0P23,Turbo Chair,173,337.91
7NJE7HXC,Eco Lamp,47,123.95
XOE1LG8L,Smart Chair,156,182.0
18FIVYKU,Smart Headset,185,68.99
KPTEXIP9,Next Watch,169,446.09
XTA7MSX6,Elite Chair,90,402.41
A0P6LIOA,Prime Headset,142,484.9
955YGRZ0,Ultra Backpack,7,414.73
T3WTS0N1,Pro Laptop,96,124.87
UCS4E8C9,Ultra Bottle,131,102.74
ZNR4QUMP,Elite Lamp,174,343.58
